"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","no","GCF_000006945.2_ASM694v2","AcrIIA1;AcrIIA3","no"
"2","no","no","GCF_000007545.1_ASM754v1","AcrVA1;AcrIIA1;AcrIF9;AcrIIA14","no"
"3","no","no","GCF_000008105.1_ASM810v1","AcrIIA15;AcrIIA7;AcrIIA1;AcrIIA3","no"
"4","no","no","GCF_000009505.1_ASM950v1","AcrVA5;AcrIIA7;AcrIIA1;AcrIIA3","no"
"5","no","no","GCF_000009525.1_ASM952v1","AcrVA5;AcrIIA1;AcrIIA7;AcrIIA15;AcrIIA3","no"
"6","no","no","GCF_000011885.1_ASM1188v1","AcrIIA1","no"
"7","no","no","GCF_000016045.1_ASM1604v1","AcrIIA7;AcrIIA3","no"
"8","no","no","GCF_000018385.1_ASM1838v1","AcrIIA14;AcrIIA13;AcrVA3;AcrIIA15;AcrIIA7;AcrIIA1;AcrIIA3","no"
"9","no","no","GCF_000020705.1_ASM2070v1","AcrIIA9;AcrIIA7;AcrVA3;AcrIIA1;AcrIIA3;AcrIIA13","no"
"10","no","no","GCF_000020745.1_ASM2074v1","AcrIIA13;AcrIIA7;AcrIIA3","no"
"11","no","no","GCF_000020885.1_ASM2088v1","AcrIIA3","no"
"12","no","no","GCF_000020925.1_ASM2092v1","AcrIIA1;AcrIIA3","no"
"13","no","no","GCF_000022165.1_ASM2216v1","AcrIIA1;AcrIIA7;AcrIIA3","no"
"14","no","no","GCF_000026565.1_ASM2656v1","AcrIIA1","no"
"15","no","no","GCF_000027025.1_ASM2702v1","AcrIIA1;AcrIIA15;AcrIIA7;AcrIIA3","no"
"16","no","no","GCF_000188735.1_ASM18873v1","AcrIIA1;AcrIIA3","no"
"17","no","no","GCF_000188955.2_ASM18895v5","AcrIIA13;AcrIIA3","no"
"18","no","no","GCF_000195995.1_ASM19599v1","AcrVA1;AcrIIA1;AcrIF9;AcrIIA14;AcrIIA7","no"
