"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","no","GCF_000014625.1_ASM1462v1","AcrIIC5;AcrIIA1;AcrIIA14;AcrIIA15","no"
"2","AcrIE4|AcrIF3|AcrIF5","no","GCF_000026645.1_ASM2664v1","no","no"
"3","no","no","GCF_000226155.1_ASM22615v1","AcrIIC5;AcrIIA14;AcrIIA1;AcrIIA7;AcrIIA15","no"
"4","no","no","GCF_000271365.1_ASM27136v1","AcrIIC5;AcrIIA1;AcrIIA15;AcrIF12;AcrIIA14","no"
"5","no","no","GCF_000271985.2_ASM27198v2","AcrIIA1;AcrIIC5;AcrVA5;AcrIIA15","no"
"6","no","no","GCF_000414035.1_ASM41403v1","no","AcrIIC5;AcrIIA15;AcrIIA1;AcrVA5;AcrIIA14;AcrIF2"
"7","AcrIE1|AcrIF3|AcrIF12","AcrIF2;AcrIE4;AcrIF3","GCF_000496455.2_ASM49645v2","no","AcrIIC5;AcrIIA1;AcrIIA14;AcrIIA7;AcrIIA15;AcrIF12;AcrIIA3"
"8","AcrIE4|AcrIF3|AcrIF5","no","GCF_000508765.1_ASM50876v1","no","no"
"9","AcrIE1|AcrIE4|AcrIF12","AcrIIA7","GCF_000510305.1_ASM51030v1","no","AcrIIC5;AcrIIA1;AcrIF7;AcrIF12;AcrIIA15;AcrVA5;AcrIIA7;AcrVA1;AcrIIA3"
"10","AcrIF12","no","GCF_000524595.1_ASM52459v1","AcrIIC5;AcrIF3;AcrIF12;AcrIIA15;AcrIIA1","no"
"11","AcrIE3|AcrIF4","no","GCF_000763245.3_ASM76324v3","no","AcrIIC5;AcrVA5;AcrIIA1;AcrIIA15;AcrIF12;AcrIIA14;AcrIF9;AcrIE3;AcrIF4"
"12","AcrIE1|AcrIF12","no","GCF_000829885.1_ASM82988v1","no","no"
"13","AcrIF4|AcrIE3|AcrIE4","no","GCF_000981825.1_ASM98182v1","no","no"
"14","no","no","GCF_001045685.1_ASM104568v1","AcrIIC5;AcrIIA1;AcrIIA15","no"
"15","no","no","GCF_001447845.1_ASM144784v1","AcrIIA1;AcrIIC5;AcrIF2;AcrIIA14;AcrIIA15","no"
"16","no","no","GCF_001457615.1_NCTC10332","AcrIIC5;AcrIIA1;AcrIIA15","no"
"17","AcrIE1|AcrIF12","no","GCF_001515915.2_ASM151591v2","no","no"
"18","no","no","GCF_001516165.2_ASM151616v2","AcrIIC5;AcrIIA1;AcrIIA7;AcrVA1;AcrIIA15;AcrIIA3","no"
"19","no","no","GCF_001516185.2_ASM151618v2","AcrIIC5;AcrIIA1;AcrIIA15","no"
"20","AcrIE1|AcrIF12","no","GCF_001516205.2_ASM151620v2","no","no"
"21","AcrIE1|AcrIF12","no","GCF_001516225.2_ASM151622v2","no","no"
