"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","no","GCF_000009885.1_ASM988v1","AcrIIA1;AcrIIA7;AcrIIA14;AcrVA5;AcrIF14","no"
"2","AcrIIA7","no","GCF_000281435.2_ASM28143v2","no","no"
"3","AcrIIA7","no","GCF_000281535.2_ASM28153v2","no","no"
"4","no","no","GCF_000294365.1_ASM29436v1","AcrIIA7;AcrIIA14;AcrIIA13;AcrIIA1","no"
"5","AcrIIA7","no","GCF_000406765.2_ASM40676v2","no","no"
"6","AcrIIA7","no","GCF_000417085.2_ASM41708v2","no","no"
"7","AcrIIA7","no","GCF_000417225.2_ASM41722v2","no","no"
"8","AcrIIA7","no","GCF_000417265.2_ASM41726v2","no","no"
"9","no","no","GCF_000695935.1_ASM69593v1","no","AcrIIIB1;AcrIF11;AcrIIA15;AcrVA5;AcrIIA7;AcrIIA14;AcrIF9;AcrIF12;AcrIIA1"
"10","AcrIIA7","no","GCF_000714675.1_ASM71467v1","no","no"
"11","AcrIIA7","no","GCF_000717515.1_ASM71751v1","no","no"
"12","no","no","GCF_000733255.1_ASM73325v1","no","AcrIIA7;AcrIF11;AcrIIIB1;AcrIIA14"
"13","no","no","GCF_000742755.1_ASM74275v1","AcrIF11;AcrIIIB1;AcrIIA1;AcrIIA7","no"
"14","no","AcrIF11;AcrIIIB1","GCF_000764615.1_ASM76461v1","no","AcrIIA7;AcrIIA14;AcrIIIB1;AcrIF11"
"15","AcrIIA7","no","GCF_000775375.1_ASM77537v1","no","no"
"16","AcrIIA7","no","GCF_000775395.1_ASM77539v1","no","no"
"17","AcrIIA7","no","GCF_000784985.1_ASM78498v1","no","no"
"18","no","AcrIIIB1;AcrIF11","GCF_000785005.1_ASM78500v1","no","AcrIIA15;AcrIIA14;AcrIIA7;AcrIF11"
"19","AcrIIA7","no","GCF_000807395.2_ASM80739v3","no","no"
"20","no","no","GCF_000968155.1_ASM96815v1","AcrIIA14;AcrIIA15;AcrIIA7;AcrIIIB1;AcrIF11","no"
"21","no","AcrIF11;AcrIIIB1","GCF_001022175.1_ASM102217v1","no","AcrIIA7;AcrIIIB1;AcrIIA14"
"22","no","no","GCF_001307175.1_ASM130717v1","no","AcrIIA7;AcrIF11;AcrIIIB1;AcrIIA14"
"23","no","no","GCF_001455995.1_MS6671.v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrVA5;AcrIIIB1;AcrVA3;AcrIF11","no"
"24","no","AcrIF11;AcrIIIB1","GCF_001456135.1_ASM145613v1","no","AcrIIA7;AcrIIIB1;AcrIIA14"
"25","no","no","GCF_001482345.1_ASM148234v1","AcrIIIB1;AcrIIA14;AcrVA2;AcrIIA7;AcrIF14","no"
"26","no","no","GCF_001521895.1_ASM152189v1","no","AcrIF11;AcrIIIB1;AcrIIA14;AcrIIA7;AcrIE4"
"27","no","no","GCF_001529935.1_ASM152993v1","AcrIIA1;AcrIIA14;AcrIIA7;AcrVA5;AcrIF14","no"
"28","no","no","GCF_001530015.1_ASM153001v1","AcrIIA1;AcrIIA14;AcrIIIB1;AcrIIA7;AcrIF14;AcrVA5","no"
"29","AcrIIA7","no","GCF_001611055.1_ASM161105v1","AcrIIA7;AcrIF11;AcrIIA14;AcrIIA13","no"
"30","AcrIIA7","no","GCF_001611095.1_ASM161109v1","AcrIIA14;AcrIIA7;AcrIF11;AcrIIA13","no"
"31","no","no","GCF_001644765.1_ASM164476v1","AcrIIA7;AcrIIA15;AcrIIA14;AcrVA3;AcrIIIB1;AcrVA5;AcrIF11","no"
"32","no","no","GCF_001648215.1_ASM164821v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIIA1;AcrVA5","no"
"33","no","no","GCF_001663195.1_ASM166319v1","AcrIIA7;AcrIF11;AcrIIIB1;AcrIIA14;AcrIIA1;AcrVA5","no"
"34","no","no","GCF_001663435.1_ASM166343v1","AcrIIA14;AcrIIA15;AcrIIA7;AcrIIA8","no"
"35","AcrIIA7","no","GCF_001675125.1_ASM167512v1","no","no"
"36","no","AcrIF11;AcrIIIB1","GCF_001701425.2_ASM170142v2","no","AcrIIA7;AcrIIA15;AcrIIA14;AcrIIA1;AcrVA5;AcrIF11"
"37","AcrIIA7","no","GCF_001701845.2_ASM170184v2","no","no"
"38","AcrIIA7","no","GCF_001702045.2_ASM170204v2","no","no"
"39","AcrIIA7","no","GCF_001705385.1_ASM170538v1","no","no"
"40","no","no","GCF_001708225.1_ASM170822v1","no","AcrIIA1;AcrIIA14;AcrIIA7;AcrVA5;AcrIF14"
"41","no","no","GCF_001708245.1_ASM170824v1","AcrIIA1;AcrIIA14;AcrIIA13;AcrIIA7","no"
"42","no","no","GCF_001709275.1_ASM170927v1","no","AcrIIA7;AcrIIA14;AcrIIIB1;AcrIF11"
"43","no","no","GCF_001709295.1_ASM170929v1","AcrIF11;AcrIIIB1;AcrIIA14;AcrIIA13;AcrIIA7","no"
"44","no","no","GCF_001746535.1_ASM174653v1","no","AcrIIA7;AcrIIA15;AcrIIA14"
"45","no","no","GCF_001750805.1_ASM175080v1","no","AcrIIA14;AcrIIIB1;AcrIIA7;AcrIF11;AcrVA5"
"46","no","no","GCF_001855315.1_ASM185531v1","AcrIIA7;AcrIIA14;AcrIIA15;AcrIF11","no"
"47","AcrIIA7","no","GCF_001870165.1_ASM187016v1","no","AcrIIA15;AcrIIIB1;AcrIIA14;AcrIC1;AcrIIA7;AcrIF11"
"48","no","no","GCF_001885255.2_ASM188525v2","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"49","AcrIIA7","no","GCF_001902255.1_ASM190225v1","no","no"
"50","no","no","GCF_001902395.1_ASM190239v1","AcrIIA1;AcrIIA13;AcrIIA7;AcrIF11;AcrIIIB1;AcrIIA14","no"
"51","no","no","GCF_001908595.1_ASM190859v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"52","no","no","GCF_001908625.1_ASM190862v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"53","no","no","GCF_001908655.1_ASM190865v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"54","no","no","GCF_001908675.1_ASM190867v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"55","no","no","GCF_001908695.1_ASM190869v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"56","no","no","GCF_001908875.1_ASM190887v1","AcrIIA14;AcrIIA7;AcrIIA15;AcrIF11","no"
"57","no","AcrIIA15","GCF_001936035.1_ASM193603v1","no","AcrIIIB1;AcrIF11;AcrIIA14;AcrIIA7"
