"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","AcrIIA1;AcrIIA15;AcrIIA2","GCF_000438605.1_ASM43860v1","no","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1;AcrVA5"
"2","AcrIIA1|AcrIIA2","no","GCF_000438625.1_ASM43862v1","no","no"
"3","no","no","GCF_000438645.1_ASM43864v1","no","AcrIIA1;AcrIIA15;AcrVA5;AcrIIC1;AcrIF2;AcrIIA14;AcrIIIB1;AcrIIA2"
"4","AcrIIA1|AcrIIA2|AcrIIA3","AcrVA2;AcrIIA3;AcrIIA2;AcrIIA1","GCF_001027085.1_ASM102708v1","no","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIA3;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1;AcrVA5"
"5","AcrIIA1|AcrIIA2|AcrIIA3","no","GCF_001027205.1_ASM102720v1","no","AcrIIA1;AcrIIA15;AcrVA2;AcrIIA2;AcrIIA3;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1;AcrVA5"
"6","no","no","GCF_001188655.1_ASM118865v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIIA7;AcrIIIB1;AcrIIA9;AcrIIC1","no"
"7","AcrIIA1|AcrIIA12","AcrIIA2;AcrIIA1;AcrIIA12","GCF_001483405.1_ASM148340v1","no","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIC1;AcrIIA9;AcrIIA14"
"8","AcrIIA1|AcrIIA4","no","GCF_001548635.2_ASM154863v2","no","no"
"9","AcrIIA12|AcrIIA1","no","GCF_001998915.1_ASM199891v1","no","no"
"10","AcrIIA12|AcrIIA1","no","GCF_001999005.1_ASM199900v1","no","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA12;AcrIIA2;AcrIIA14;AcrIIA9;AcrIIC1;AcrVA5"
"11","no","no","GCF_001999085.1_ASM199908v1","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1;AcrVA5","no"
"12","AcrIIA1|AcrIIA4","no","GCF_001999125.1_ASM199912v1","no","AcrIIA1;AcrIIA15;AcrIIA4;AcrIIIB1;AcrIIA14;AcrIIC1"
"13","AcrIIA4","no","GCF_001999145.1_ASM199914v1","no","no"
"14","AcrIIA1|AcrIIA2","no","GCF_002043045.1_ASM204304v1","no","AcrIIA1;AcrIIA15;AcrVA2;AcrIIA2;AcrVA5;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1"
"15","no","AcrIIA2;AcrIIA1","GCF_002105615.1_ASM210561v1","no","AcrIIA1;AcrIIA15;AcrIIA7;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1;AcrVA5"
"16","AcrIIA1|AcrIIA4","no","GCF_002105635.1_ASM210563v1","no","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA4;AcrIIA14;AcrIIC1"
"17","AcrIIA1|AcrIIA2|AcrIIA3|AcrIIA4","AcrIIA4;AcrIIA1","GCF_002105715.1_ASM210571v1","no","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIA3;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1;AcrIIA7"
"18","AcrIIA1","no","GCF_002116675.1_ASM211667v1","no","AcrIIA1;AcrIIA15;AcrIIIB1;AcrVA5;AcrIIA14;AcrIIA7;AcrIIA2;AcrIIC1"
"19","AcrIIA1","no","GCF_003031935.1_ASM303193v1","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1","no"
"20","no","no","GCF_003031955.1_ASM303195v1","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1","no"
"21","no","no","GCF_003031975.1_ASM303197v1","no","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1"
"22","AcrIIA1|AcrIIA12","AcrIIA2;AcrIIA1","GCF_003999665.1_ASM399966v1","no","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIA12;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1;AcrVA5"
"23","AcrIIA1","no","GCF_004768685.1_ASM476868v1","AcrIIA1;AcrIIA2;AcrIIC1;AcrVA5;AcrIIA15;AcrIIA14;AcrIIIB1","no"
"24","no","no","GCF_008807875.1_ASM880787v1","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1","no"
"25","AcrIIA1|AcrIIA2","no","GCF_008807895.1_ASM880789v1","no","AcrIIA1;AcrIIA2;AcrIIA15;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1"
"26","no","AcrIIA1;AcrIIA2","GCF_009664735.1_ASM966473v1","no","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIIB1;AcrIIA14;AcrIF2;AcrIIC1;AcrVA5"
"27","AcrIIA3|AcrIIA1","no","GCF_009664755.1_ASM966475v1","AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA3;AcrIIA2;AcrIIA14;AcrIIC1","no"
"28","AcrIIA1|AcrIIA2|AcrIIA3","no","GCF_010442835.1_ASM1044283v1","no","AcrIIA1;AcrIIA2;AcrIIA3;AcrIIIB1;AcrIIA14;AcrIIA15;AcrIIA9;AcrIIC1;AcrVA5"
"29","AcrIIA1|AcrIIA2|AcrIIA3|AcrIIA4","no","GCF_010443035.1_ASM1044303v1","no","AcrIIA1;AcrIIA2;AcrIIA4;AcrIIA15;AcrIIA14;AcrIIA7;AcrIIA3;AcrIIIB1;AcrIIA9;AcrIIC1"
"30","AcrIIA1|AcrIIA2|AcrIIA3","AcrIIA1;AcrIIA2;AcrIIA3","GCF_014843275.1_ASM1484327v1","no","AcrIIA1;AcrIIA15;AcrVA5;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1"
"31","AcrIIA1|AcrIIA2|AcrIIA3","no","GCF_016728025.1_ASM1672802v1","no","no"
"32","AcrIIA1|AcrIIA12","AcrIIA1;AcrIIA15","GCF_016802645.1_ASM1680264v1","no","AcrIIA1;AcrIIA15;AcrIIA2;AcrIIA12;AcrVA5;AcrIIIB1;AcrIIA14;AcrIIA9;AcrIIC1"
"33","no","AcrIIA2;AcrIIA1","GCF_018336655.1_ASM1833665v1","no","AcrIIA14;AcrIIC1;AcrIIIB1;AcrIIA1;AcrIIA15"
"34","no","no","GCF_018336695.1_ASM1833669v1","AcrIIA1;AcrIIA14;AcrIIA9;AcrIIC1;AcrVA5;AcrIIA15;AcrIIA7;AcrIIIB1;AcrIIA2","no"
"35","AcrIIA3|AcrIIA2|AcrIIA1","no","GCF_018336735.1_ASM1833673v1","no","AcrIIA9;AcrIIC1;AcrVA5;AcrIIA1;AcrIIA15;AcrIIA7;AcrIIA14;AcrIIIB1;AcrIIA3;AcrIIA2"
"36","AcrIIA1|AcrIIA2|AcrIIA3","no","GCF_018336795.1_ASM1833679v1","no","AcrIIA1;AcrIIA15;AcrIIA9;AcrIIC1;AcrVA5;AcrIIIB1;AcrIIA7;AcrIIA14;AcrIIA2;AcrIIA3"
