"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","no","GCF_000006785.2_ASM678v2","no","AcrIIA15;AcrIIA9;AcrIIA7;AcrIIA6;AcrIIA1"
"2","no","no","GCF_000011765.3_ASM1176v2","AcrIIIB1;AcrVA5;AcrIIA1;AcrIIA14","no"
"3","no","no","GCF_000012165.2_ASM1216v2","AcrIIIB1;AcrVA5;AcrIIA14;AcrIIA1;AcrIIA15;AcrIIA10;AcrIIA13","no"
"4","no","no","GCF_000013485.1_ASM1348v1","AcrIIIB1;AcrVA5;AcrIIA15;AcrIIA1;AcrIIA7;AcrIIA14;AcrIIA13","no"
"5","no","no","GCF_000013525.1_ASM1352v1","AcrVA5;AcrIIA15;AcrIIA9;AcrIIA1;AcrIIA14;AcrIIA13;AcrIIIB1","no"
"6","no","no","GCF_000013545.1_ASM1354v1","AcrVA5;AcrIIA1;AcrIIA15;AcrIIIB1;AcrIIA6","no"
"7","no","no","GCF_000018125.1_ASM1812v1","AcrIIIB1;AcrVA5;AcrVA3;AcrIIA1","no"
"8","no","no","GCF_000167435.2_ASM16743v2","AcrIIIB1;AcrVA5;AcrVA3;AcrIIA1;AcrIIA15","no"
"9","no","no","GCF_000307535.1_ASM30753v1","AcrIIIB1;AcrVA5;AcrIIA1;AcrIIA14","no"
"10","no","no","GCF_000349925.2_ASM34992v2","AcrIIIB1;AcrVA5;AcrIIA1;AcrIIA14","no"
"11","no","no","GCF_000767505.1_ASM76750v1","AcrIIA1;AcrVA5;AcrVA2","no"
"12","no","no","GCF_000772185.1_ASM77218v1","AcrIIIB1;AcrVA5;AcrIIA7;AcrIIA14;AcrIIA13;AcrVA2;AcrIIA1;AcrIIA6;AcrIIA15","no"
"13","no","no","GCF_000772245.1_ASM77224v1","AcrIIIB1;AcrVA2;AcrIIA14;AcrIIA13","no"
"14","no","no","GCF_000993765.1_ASM99376v1","no","AcrIIA15;AcrIIA14;AcrIIA6;AcrIIA1"
"15","no","no","GCF_001019675.1_ASM101967v1","AcrIIIB1;AcrVA5;AcrIIA15","no"
"16","no","no","GCF_001019695.1_ASM101969v1","AcrVA5;AcrIIA1","no"
"17","no","no","GCF_001020185.2_ASM102018v2","AcrIIIB1;AcrVA5;AcrIIA15;AcrIIA1;AcrIIA14;AcrIIA10;AcrIIA13","no"
"18","no","no","GCF_001021955.1_ASM102195v1","AcrIIIB1;AcrVA5;AcrIIA1","no"
"19","no","no","GCF_001023495.1_ASM102349v1","AcrIIIB1;AcrVA5;AcrIIA14;AcrIIA1;AcrIIA15;AcrIIA10;AcrIIA13","no"
"20","no","no","GCF_001039695.1_emm89-1","AcrIIIB1;AcrVA5;AcrIIA13;AcrIIA15;AcrIIA1","no"
"21","no","no","GCF_001051095.1_ASM105109v1","AcrIIIB1;AcrVA5;AcrIIA1;AcrVA2;AcrIIA15","no"
"22","no","no","GCF_001267805.1_ASM126780v1","no","AcrIIIB1;AcrVA5;AcrIIA14;AcrIIA1;AcrVA2;AcrIIA7;AcrIIA6"
"23","no","no","GCF_001267845.1_ASM126784v1","AcrVA5;AcrIIIB1;AcrIIA1","no"
"24","no","no","GCF_001535505.1_ASM153550v1","AcrVA5;AcrIIIB1","no"
"25","no","no","GCF_001547815.1_ASM154781v1","AcrIIIB1;AcrVA5;AcrIIA7;AcrIIA14;AcrIIA15;AcrIIA1","no"
"26","no","no","GCF_001547835.1_ASM154783v1","AcrIIIB1;AcrVA5;AcrIIA14;AcrIIA1","no"
"27","no","no","GCF_001559175.2_ASM155917v2","AcrIIA1;AcrVA5;AcrIIIB1;AcrIIA6;AcrIIA7","no"
"28","no","no","GCF_001635895.1_ASM163589v1","AcrVA5;AcrIIA13;AcrIIA15;AcrIIA1;AcrIIA14","no"
"29","no","no","GCF_001635935.1_ASM163593v1","AcrIIA13;AcrIIA15;AcrVA5;AcrIIA1","no"
"30","no","no","GCF_001635975.1_ASM163597v1","AcrIIIB1;AcrVA5;AcrIIA15;AcrIIA9;AcrIIA1;AcrIIA13","no"
"31","no","no","GCF_001678885.1_ASM167888v1","AcrVA5;AcrIIA14;AcrIIIB1;AcrIIA15;AcrIIA1;AcrIIA10;AcrIIA13","no"
"32","no","no","GCF_002055535.1_NCTC8198","no","AcrIIA1;AcrIIA6;AcrIIA14;AcrIIA15"
"33","no","no","GCF_002355815.1_ASM235581v1","AcrIIIB1;AcrVA5;AcrIIA15;AcrIIA9;AcrIIA1;AcrIIA13","no"
