"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"GCF_000008585.1_ASM858v1","no","no","GCF_000008585.1_ASM858v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000009445.1_ASM944v1","no","no","GCF_000009445.1_ASM944v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000010685.1_ASM1068v1","no","no","GCF_000010685.1_ASM1068v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000016145.1_ASM1614v1","no","no","GCF_000016145.1_ASM1614v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000016925.1_ASM1692v1","no","no","GCF_000016925.1_ASM1692v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000023625.1_ASM2362v1","no","no","GCF_000023625.1_ASM2362v1","AcrIIA1;AcrIF10;AcrIIA14;AcrIIA15;AcrIF6;AcrIIA9;AcrIE2","no"
"GCF_000153685.2_ASM15368v2","no","no","GCF_000153685.2_ASM15368v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000154585.2_ASM15458v2","no","no","GCF_000154585.2_ASM15458v2","AcrIIA1;AcrIF10;AcrIIA14;AcrIIA15;AcrIF6;AcrIIA9;AcrIE2","no"
"GCF_000154605.2_ASM15460v2","no","no","GCF_000154605.2_ASM15460v2","AcrIIA1;AcrIF10;AcrIIA14;AcrIIA15;AcrIF6;AcrIIA9;AcrIE2","no"
"GCF_000193185.2_ASM19318v2","no","no","GCF_000193185.2_ASM19318v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000194075.2_ASM19407v3","no","no","GCF_000194075.2_ASM19407v3","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000195835.3_ASM19583v2","no","no","GCF_000195835.3_ASM19583v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000195955.2_ASM19595v2","no","no","GCF_000195955.2_ASM19595v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000224435.1_ASM22443v1","no","no","GCF_000224435.1_ASM22443v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000234725.1_ASM23472v1","no","no","GCF_000234725.1_ASM23472v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000253355.1_ASM25335v1","no","no","GCF_000253355.1_ASM25335v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000270345.1_ASM27034v1","no","no","GCF_000270345.1_ASM27034v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000270365.1_ASM27036v1","no","no","GCF_000270365.1_ASM27036v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000277735.2_ASM27773v2","no","no","GCF_000277735.2_ASM27773v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000331445.1_ASM33144v1","no","no","GCF_000331445.1_ASM33144v1","AcrIIA1;AcrIIA15;AcrVA5;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000338715.2_ASM33871v2","no","no","GCF_000338715.2_ASM33871v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000350205.1_ASM35020v1","no","no","GCF_000350205.1_ASM35020v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000364825.1_ASM36482v1","no","no","GCF_000364825.1_ASM36482v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrID1;AcrIIA9;AcrIE2","no"
"GCF_000389905.1_ASM38990v1","no","no","GCF_000389905.1_ASM38990v1","AcrID1;AcrIIA15;AcrIIA7;AcrIF14;AcrIIA14;AcrIF10","no"
"GCF_000389925.1_ASM38992v1","no","no","GCF_000389925.1_ASM38992v1","AcrIE1;AcrIF3;AcrIF5;AcrIIA7;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2;AcrIF6","no"
"GCF_000389945.1_ASM38994v1","no","no","GCF_000389945.1_ASM38994v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrID1;AcrIE2","no"
"GCF_000400615.1_ASM40061v1","no","no","GCF_000400615.1_ASM40061v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000422125.1_ASM42212v1","no","no","GCF_000422125.1_ASM42212v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000572125.1_ASM57212v1","no","no","GCF_000572125.1_ASM57212v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000572155.1_ASM57215v1","no","no","GCF_000572155.1_ASM57215v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000572175.1_ASM57217v1","no","no","GCF_000572175.1_ASM57217v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000572195.1_ASM57219v1","no","no","GCF_000572195.1_ASM57219v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000698475.1_ASM69847v1","no","no","GCF_000698475.1_ASM69847v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000706665.1_ASM70666v1","no","no","GCF_000706665.1_ASM70666v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000738445.1_ASM73844v1","no","no","GCF_000738445.1_ASM73844v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000738475.1_ASM73847v1","no","no","GCF_000738475.1_ASM73847v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000756525.1_ASM75652v1","no","no","GCF_000756525.1_ASM75652v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000756545.1_ASM75654v1","no","no","GCF_000756545.1_ASM75654v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIE2","no"
"GCF_000786505.1_MT49-02","no","no","GCF_000786505.1_MT49-02","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000827085.1_ASM82708v1","no","no","GCF_000827085.1_ASM82708v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000828995.1_ASM82899v1","no","no","GCF_000828995.1_ASM82899v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000934325.3_ASM93432v3","no","no","GCF_000934325.3_ASM93432v3","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_000954155.1_ASM95415v1","no","no","GCF_000954155.1_ASM95415v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrVA5;AcrIIA9;AcrIE2","no"
"GCF_000967285.1_ASM96728v1","no","no","GCF_000967285.1_ASM96728v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001043255.1_ASM104325v1","no","no","GCF_001043255.1_ASM104325v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001078615.1_ASM107861v1","no","no","GCF_001078615.1_ASM107861v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001274555.1_ASM127455v1","no","no","GCF_001274555.1_ASM127455v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001275565.2_ASM127556v2","no","no","GCF_001275565.2_ASM127556v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001483905.1_ASM148390v1","no","no","GCF_001483905.1_ASM148390v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001544675.1_ASM154467v1","no","no","GCF_001544675.1_ASM154467v1","AcrIIA1;AcrIIIB1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001544705.1_ASM154470v1","no","no","GCF_001544705.1_ASM154470v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001544895.1_ASM154489v1","no","no","GCF_001544895.1_ASM154489v1","AcrIIA1;AcrIC1;AcrIF10;AcrIIA14;AcrIF14;AcrIIA15;AcrVA5;AcrIIA9;AcrIIA10;AcrIE2;AcrIE1;AcrIF7","no"
"GCF_001544935.1_ASM154493v1","no","no","GCF_001544935.1_ASM154493v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2;AcrIE1","no"
"GCF_001544955.1_ASM154495v1","no","no","GCF_001544955.1_ASM154495v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001544985.1_ASM154498v1","no","no","GCF_001544985.1_ASM154498v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001545015.1_ASM154501v1","no","no","GCF_001545015.1_ASM154501v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001545055.1_ASM154505v1","no","no","GCF_001545055.1_ASM154505v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001580385.1_ASM158038v1","no","no","GCF_001580385.1_ASM158038v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001597645.2_ASM159764v2","no","no","GCF_001597645.2_ASM159764v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001702435.1_ASM170243v1","no","no","GCF_001702435.1_ASM170243v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001708265.1_ASM170826v1","no","no","GCF_001708265.1_ASM170826v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001750865.1_ASM175086v1","no","no","GCF_001750865.1_ASM175086v1","AcrIF10;AcrIIA14;AcrIIA15;AcrIIA1;AcrIE2;AcrIIA9","no"
"GCF_001855255.1_ASM185525v1","no","no","GCF_001855255.1_ASM185525v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001870145.1_ASM187014v1","no","no","GCF_001870145.1_ASM187014v1","AcrIF10;AcrIIA14;AcrIIA15;AcrIIA1;AcrIE2;AcrIIA9","no"
"GCF_001895765.1_ASM189576v1","no","no","GCF_001895765.1_ASM189576v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001895785.1_ASM189578v1","no","no","GCF_001895785.1_ASM189578v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001895805.1_ASM189580v1","no","no","GCF_001895805.1_ASM189580v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001895825.1_ASM189582v1","no","no","GCF_001895825.1_ASM189582v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001895845.1_ASM189584v1","no","no","GCF_001895845.1_ASM189584v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001895865.1_ASM189586v1","no","no","GCF_001895865.1_ASM189586v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001922485.1_ASM192248v1","no","no","GCF_001922485.1_ASM192248v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_001938725.1_ASM193872v1","no","no","GCF_001938725.1_ASM193872v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002072775.2_ASM207277v2","no","no","GCF_002072775.2_ASM207277v2","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002116755.1_ASM211675v1","no","no","GCF_002116755.1_ASM211675v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002116775.1_ASM211677v1","no","no","GCF_002116775.1_ASM211677v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002116795.1_ASM211679v1","no","no","GCF_002116795.1_ASM211679v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002116815.1_ASM211681v1","no","no","GCF_002116815.1_ASM211681v1","AcrIIA1;AcrIIA15;AcrIF14;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002116835.1_ASM211683v1","no","no","GCF_002116835.1_ASM211683v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002116855.1_ASM211685v1","no","no","GCF_002116855.1_ASM211685v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002208235.1_ASM220823v1","no","no","GCF_002208235.1_ASM220823v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002356015.1_ASM235601v1","no","no","GCF_002356015.1_ASM235601v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002356255.1_ASM235625v1","no","no","GCF_002356255.1_ASM235625v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2;AcrIE1","no"
"GCF_002357935.1_ASM235793v1","no","no","GCF_002357935.1_ASM235793v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002357955.1_ASM235795v1","no","no","GCF_002357955.1_ASM235795v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002357975.1_ASM235797v1","no","no","GCF_002357975.1_ASM235797v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446875.1_ASM244687v1","no","no","GCF_002446875.1_ASM244687v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446895.1_ASM244689v1","no","no","GCF_002446895.1_ASM244689v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446915.1_ASM244691v1","no","no","GCF_002446915.1_ASM244691v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446935.1_ASM244693v1","no","no","GCF_002446935.1_ASM244693v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446955.1_ASM244695v1","no","no","GCF_002446955.1_ASM244695v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446975.1_ASM244697v1","no","no","GCF_002446975.1_ASM244697v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002446995.1_ASM244699v1","no","no","GCF_002446995.1_ASM244699v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447015.1_ASM244701v1","no","no","GCF_002447015.1_ASM244701v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447035.1_ASM244703v1","no","no","GCF_002447035.1_ASM244703v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447055.1_ASM244705v1","no","no","GCF_002447055.1_ASM244705v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447075.1_ASM244707v1","no","no","GCF_002447075.1_ASM244707v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447095.1_ASM244709v1","no","no","GCF_002447095.1_ASM244709v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447115.1_ASM244711v1","no","no","GCF_002447115.1_ASM244711v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447135.1_ASM244713v1","no","no","GCF_002447135.1_ASM244713v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447155.1_ASM244715v1","no","no","GCF_002447155.1_ASM244715v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447175.1_ASM244717v1","no","no","GCF_002447175.1_ASM244717v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447195.1_ASM244719v1","no","no","GCF_002447195.1_ASM244719v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447215.1_ASM244721v1","no","no","GCF_002447215.1_ASM244721v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447235.1_ASM244723v1","no","no","GCF_002447235.1_ASM244723v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447255.1_ASM244725v1","no","no","GCF_002447255.1_ASM244725v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447275.1_ASM244727v1","no","no","GCF_002447275.1_ASM244727v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
"GCF_002447295.1_ASM244729v1","no","no","GCF_002447295.1_ASM244729v1","AcrIIA1;AcrIIA15;AcrIIA14;AcrIF10;AcrIIA9;AcrIE2","no"
