"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","no","GCF_000021245.2_ASM2124v2","AcrIIA14;AcrIIC1;AcrIIA15;AcrIIA9;AcrIIA7;AcrIIA1","no"
"2","no","no","GCF_000069245.1_ASM6924v1","AcrIIA1;AcrIIA15;AcrIIA9;AcrIIC1;AcrIIA14;AcrIF11","no"
"3","no","no","GCF_000761175.1_ASM76117v1","AcrIIA15;AcrIIA1","no"
"4","AcrIIA7","no","GCF_000786735.1_ASM78673v1","no","no"
"5","no","no","GCF_000830055.1_ASM83005v1","no","AcrIIA14;AcrIIC1;AcrIIA15;AcrIIA7;AcrIIA1"
"6","no","no","GCF_000963815.1_ASM96381v1","no","AcrIIA1;AcrIIA7;AcrIIA15;AcrIIA9;AcrIIA14"
"7","no","no","GCF_001077965.2_ASM107796v2","AcrIIA15;AcrVA2;AcrIIA14;AcrVA5;AcrIIA1;AcrIIIB1","no"
"8","no","no","GCF_001399655.1_ASM139965v1","AcrIIA1;AcrIIC3;AcrIIA15;AcrIIA9;AcrIIA14","no"
"9","no","no","GCF_001457535.1_CIP70.10","AcrIIA15;AcrIIC3;AcrIIA1","no"
"10","no","no","GCF_001517645.1_R2091","AcrIIA15;AcrIIC3;AcrIIA1","no"
"11","no","no","GCF_001636235.1_ASM163623v1","no","AcrIIA7;AcrIIA14;AcrIIA15"
"12","no","no","GCF_001896005.1_ASM189600v1","no","AcrIIA1;AcrIIC3;AcrIIA15;AcrIIA14"
"13","AcrIIA7","no","GCF_001908295.1_ASM190829v1","no","no"
"14","no","no","GCF_002082785.1_ASM208278v1","no","AcrIIA15"
"15","no","no","GCF_002082825.1_ASM208282v1","AcrIIA1;AcrIIA14;AcrIIC1;AcrIIA15;AcrIIA9;AcrIIC3;AcrIIA7","no"
"16","no","no","GCF_002116925.1_ASM211692v1","AcrIIA1;AcrIIA14;AcrIIA15;AcrIE7;AcrVA1;AcrIIA9","no"
"17","no","no","GCF_002210065.1_ASM221006v1","AcrIIA14;AcrIIC1;AcrIIA15;AcrIIA9;AcrIIA7;AcrIIA1","no"
"18","no","no","GCF_002504145.1_ASM250414v1","AcrIIA15;AcrIIA7;AcrIIA8;AcrIIA14;AcrIIA1","no"
"19","no","no","GCF_002741415.1_ASM274141v1","AcrIIA1;AcrIIA7;AcrIIA14;AcrIIA15;AcrIIA9;AcrIIC1;AcrIIIB1","no"
"20","no","no","GCF_002803025.2_ASM280302v2","AcrIIA1;AcrIIA15","no"
"21","no","AcrIIA14","GCF_002947845.1_ASM294784v1","no","AcrIIA1;AcrIIA15;AcrIIA14"
"22","no","no","GCF_002996805.1_ASM299680v1","AcrIIA7;AcrIIC3;AcrIIA15;AcrVA5;AcrIIC1;AcrIIA14;AcrIIA1","no"
"23","no","no","GCF_002999195.2_ASM299919v2","AcrIIC1;AcrIIA15;AcrIIA9;AcrIIA7;AcrIIA1;AcrIIA14;AcrVA5","no"
"24","no","no","GCF_003006035.1_ASM300603v1","no","AcrIIA15;AcrIIC3"
