"","acr_homology","high_condence_acr_GBA","ID","low_condence_acr_GBA","medium_condence_acr_GBA"
"1","no","no","GCF_000005845.2_ASM584v2","AcrIIA15;AcrIIA7;AcrVA5","no"
"2","no","no","GCF_000010245.2_ASM1024v1","AcrIIA15;AcrIIA7;AcrVA5","no"
"3","AcrIF11","no","GCF_000010385.1_ASM1038v1","AcrIIA15;AcrIIA14;AcrIIA7;AcrIF11","no"
"4","no","no","GCF_000010745.1_ASM1074v1","AcrIIA14;AcrIIA15;AcrIIA1;AcrIIA7;AcrIIA13;AcrVA5","no"
"5","no","no","GCF_000010765.1_ASM1076v1","AcrIIA1;AcrIIA7;AcrIIA15","no"
"6","no","no","GCF_000013265.1_ASM1326v1","no","AcrIIA15;AcrIIA3;AcrIIA7;AcrIIA14;AcrIIA1;AcrIF5;AcrVA5;AcrIIA13;AcrIIIB1"
"7","no","no","GCF_000014845.1_ASM1484v1","AcrIIA3;AcrIIA7;AcrIIA1;AcrIIA13;AcrIIA15;AcrVA5","no"
"8","no","no","GCF_000017745.1_ASM1774v1","AcrIIA14;AcrIIA15;AcrIIA7;AcrVA5;AcrIIA13;AcrIF11","no"
"9","no","no","GCF_000017765.1_ASM1776v1","no","AcrIIA1;AcrVA5;AcrIIA15;AcrIIA7"
"10","no","no","GCF_000019385.1_ASM1938v1","AcrIIA15;AcrVA5","no"
"11","no","no","GCF_000019425.1_ASM1942v1","AcrIIA15;AcrIIA7;AcrVA5","no"
"12","no","no","GCF_000019645.1_ASM1964v1","AcrIIA1;AcrIIA7;AcrVA5;AcrIIA15;AcrIIA13","no"
"13","no","no","GCF_000022345.1_ASM2234v1","AcrIIA15;AcrIIA7;AcrIIA14;AcrVA5;AcrIF14","no"
"14","no","no","GCF_000023365.1_ASM2336v1","AcrIIA7;AcrIF14;AcrVA5","no"
"15","no","no","GCF_000025745.1_ASM2574v1","AcrIIA4;AcrIIA15;AcrIIA3;AcrIIA7;AcrIIA14;AcrIIA1","no"
"16","no","no","GCF_000026245.1_ASM2624v1","AcrIIA1;AcrIIA7;AcrIF4;AcrIIA15;AcrVA5;AcrIIA13;AcrIIIB1","no"
"17","no","no","GCF_000026265.1_ASM2626v1","AcrIIA15;AcrIIA7;AcrIIA13","no"
"18","no","no","GCF_000026285.1_ASM2628v2","AcrIIA1;AcrIIA13;AcrIIA15;AcrVA5","no"
"19","no","no","GCF_000027125.1_ASM2712v1","AcrIIA15;AcrIIA7;AcrIIA1;AcrIIA13;AcrVA5","no"
"20","no","no","GCF_000091005.1_ASM9100v1","AcrIIA15;AcrVA5;AcrIIA14;AcrIIA7;AcrIIA1;AcrIIA13","no"
"21","no","no","GCF_000148605.1_ASM14860v1","no","AcrIIA1;AcrIIA14;AcrIIA3;AcrIIA15;AcrIF5;AcrVA5;AcrIIA13;AcrIIIB1"
"22","no","no","GCF_000167875.2_ASM16787v2","AcrVA5;AcrIIA15;AcrIIA14;AcrIIA3;AcrIIA9","no"
"23","no","no","GCF_000183345.1_ASM18334v1","AcrIF9;AcrIIA15;AcrIIA7","no"
"24","no","no","GCF_000184185.1_ASM18418v1","AcrIIA14;AcrIIA15;AcrIIA1;AcrIIA7","no"
"25","no","no","GCF_000210475.1_ASM21047v1","AcrIIA14;AcrIIA13;AcrIF11;AcrIIA1;AcrIIIB1;AcrIIA7;AcrIIA15;AcrVA5","no"
"26","no","no","GCF_000212715.2_ASM21271v2","AcrIIC4;AcrIIA14;AcrIIA3;AcrIIA1;AcrVA5;AcrIF11","no"
"27","no","no","GCF_000258025.1_ASM25802v1","AcrIIA14;AcrIIA15;AcrIIA7;AcrIIA1","no"
"28","no","no","GCF_000258145.1_ASM25814v1","AcrIIA14;AcrIIA15;AcrIIA1;AcrIIA7","no"
"29","no","no","GCF_000270105.1_ASM27010v1","AcrIIA7;AcrVA5","no"
"30","no","no","GCF_000284495.1_ASM28449v1","AcrIF9;AcrIIA15;AcrIIA7","no"
"31","no","no","GCF_000299255.1_ASM29925v1","AcrIIA15;AcrIIA13;AcrVA5;AcrIIA7;AcrIIA1;AcrIF4;AcrIIIB1","no"
"32","no","no","GCF_000299455.1_ASM29945v1","AcrIIA15;AcrIIA13;AcrVA5;AcrIIA7;AcrIIA1;AcrIF4;AcrIIIB1","no"
"33","no","no","GCF_000299475.1_ASM29947v1","AcrIIA15;AcrIIA13;AcrVA5;AcrIIA7;AcrIIA1;AcrIF4;AcrIIIB1","no"
"34","no","no","GCF_000332755.1_ASM33275v1","AcrVA5;AcrIIA15;AcrIIA7","no"
"35","no","no","GCF_000350185.1_ASM35018v1","AcrIIA15","no"
"36","no","no","GCF_000464955.2_ASM46495v2","AcrIIA15;AcrIIA14;AcrIIA13;AcrVA5;AcrIIA7","no"
"37","no","no","GCF_000468515.1_ASM46851v1","AcrIIA14;AcrIIA15;AcrIIA1;AcrIE1;AcrIIA7","no"
"38","no","no","GCF_000499485.1_MYMC4100","AcrIIA15;AcrIIA7;AcrIIA14;AcrVA5;AcrIF14","no"
"39","no","no","GCF_000520035.1_ASM52003v1","AcrIIIB1;AcrIIA1;AcrIIA7;AcrIF9;AcrIIA15;AcrVA5","no"
"40","no","no","GCF_000520055.1_ASM52005v1","AcrIIA15;AcrVA5;AcrIIA7;AcrIF9;AcrIIA13;AcrIIC2","no"
"41","no","no","GCF_000597845.1_ASM59784v1","AcrIIA1;AcrIIA15","no"
"42","no","no","GCF_000599625.1_ASM59962v1","AcrIIA15;AcrIIA1;AcrIIA14","no"
"43","no","no","GCF_000599645.1_ASM59964v1","AcrIIA15;AcrIIA1","no"
"44","no","no","GCF_000599665.1_ASM59966v1","AcrIIIB1;AcrIF9","no"
"45","no","no","GCF_000599685.1_ASM59968v1","AcrIIA15;AcrIIIB1;AcrIF9","no"
"46","no","no","GCF_000599705.1_ASM59970v1","AcrIIIB1;AcrIF9;AcrVA2","no"
"47","no","no","GCF_000618905.3_ASM61890v3","AcrIIA7;AcrIIA14;AcrVA5;AcrIIA15;AcrIIA1","no"
"48","no","no","GCF_000662395.1_ASM66239v1","AcrIIA15;AcrVA5;AcrIIA7;AcrIF9;AcrIIA13;AcrIIC2","no"
"49","no","no","GCF_000671295.1_ASM67129v1","AcrIIIB1;AcrIIA1;AcrIIA7;AcrIF9;AcrIIA15;AcrVA5","no"
"50","no","no","GCF_000725265.1_ASM72526v1","AcrIIA15;AcrVA1;AcrIIA14","no"
"51","no","no","GCF_000725305.1_ASM72530v1","AcrIIA15;AcrIIA7;AcrVA5","no"
"52","no","no","GCF_000750555.1_ASM75055v1","AcrIIA15;AcrIIA7;AcrVA5","no"
"53","no","no","GCF_000784925.1_ASM78492v1","AcrIIIB1;AcrIIA13;AcrIIA1;AcrIIA15;AcrVA5;AcrIIA7;AcrIF12","no"
"54","no","no","GCF_000800215.1_ASM80021v1","AcrIIA15;AcrIIA7;AcrVA5","no"
"55","no","no","GCF_000800765.1_ASM80076v1","AcrIIA15;AcrIIA7;AcrVA5","no"
"56","no","no","GCF_000800845.1_ASM80084v2","no","AcrIIA7;AcrIIA15;AcrIIA3;AcrIIA14;AcrVA1;AcrIIA1;AcrIF5;AcrVA5;AcrIIA13;AcrIIIB1"
"57","no","no","GCF_000801165.1_ASM80116v1","AcrIIA15;AcrVA5;AcrIIA14;AcrIIA7","no"
"58","no","no","GCF_000801185.2_ASM80118v2","AcrIIA15;AcrIIA14;AcrIIA7;AcrIIA13;AcrVA5","no"
"59","no","no","GCF_000801205.1_ASM80120v1","AcrIIA7;AcrIIA15;AcrVA5","no"
"60","no","no","GCF_000814145.2_ASM81414v2","AcrIIA1;AcrIC1;AcrIF4;AcrIIA7;AcrVA5","no"
"61","no","no","GCF_000819645.1_ASM81964v1","AcrIIA13;AcrIIA15;AcrIIA3;AcrVA5","no"
"62","no","no","GCF_000827105.1_ASM82710v1","AcrIF4;AcrIIA15;AcrIE7;AcrIIA13;AcrVA5;AcrIIIB1","no"
"63","no","no","GCF_000831565.1_ASM83156v1","AcrIIA15;AcrVA5;AcrIIA7;AcrIIA14;AcrIIA13","no"
"64","no","no","GCF_000833635.2_ASM83363v2","AcrIF14;AcrVA5;AcrIIA7","no"
